TYPE;IoC
File;d948d5b3702e140ef5b9247d26797b6dcdfe4fdb6f367bb217bc6b5fc79df520
File;d7130e42663e95d23c547d57e55099c239fa249ce3f6537b7f2a8033f3aa73de
File;5f001f3387ddfc0314446d0c950da2cec4c786e2374d42beb3acce6883bb4e63
File;1f6369b42a76d02f32558912b57ede4f5ff0a90b18d3b96a4fe24120fa2c300c
File;119c64a8b35bd626b3ea5f630d533b2e0e7852a4c59694125ff08f9965b5f9cc
File;3D71D782B95F13EE69E96BCF73EE279A00EAE5DB
File;3699B67BF4E381847BF98528F8CE2B966231F01A
File;1DE4810A10FA2D73CC589CA403A4390B02C6DA5E
File;CB26EBDE498ECD2D7CBF1BC498E1BCBB2619A96C
File;C9D18D01E1EC96BE952A9D7BD78F6BBB4DD2AA2A
File;83419CBA55C898FDBE19DFAFB5B1B207CC443190
File;DB01095AFEF88138C9ED3847B5D8AF954ED7BBBC
File;BE01C95C2B5717F39B550EA20F280D69C0C05894
File;6A1BA65C9FD8CC9DCB0657977DB2B03DACDD8A2A
File;94C08A619AF2B08FEF08B131A7A59D115C8C2F7B
File;CA53B8EB76811C1940D814AAA8FE875003805F51
File;BE9B6ACA8A175DF61F2C75932E029F19789FD7E3
File;2236D4DCF68C65A822FF0A2AD48D4DF99761AD07
File;EA8C3E9F418DCF92412EB01FCDCDC81FDD591BF1
URL;rdppath[.]com
URL;cpuproc[.]com
URL;acrobatverify[.]com
URL;tecforsc-001-site1.gtempurl[.]com
IP;199.102.48[.]42
